Instancia,Inicial,Iteraciones,ItEfectivas,CantMemoria,PorcentajeVecindad,Aspirar,Tabu,Algoritmo,Time,Impacto,Optimo,N,Gap
CMI_n20.in,S-LF,700,4,50,5,True,TSS-E,TSS-E-S-LF,130.73499999999999,10,25,20,0.6
CMI_n20.in,S-LF,700,4,50,5,False,TSS-E,TSS-E-S-LF,96.577,10,25,20,0.6
CMI_n20.in,S-LF,700,4,100,5,True,TSS-E,TSS-E-S-LF,93.764,10,25,20,0.6
CMI_n20.in,S-LF,700,4,100,5,False,TSS-E,TSS-E-S-LF,114.19,10,25,20,0.6
CMI_n20.in,S-LF,700,4,200,5,True,TSS-E,TSS-E-S-LF,109.89500000000001,10,25,20,0.6
CMI_n20.in,S-LF,700,4,200,5,False,TSS-E,TSS-E-S-LF,103.832,10,25,20,0.6
CMI_n20.in,S-LF,700,4,300,5,True,TSS-E,TSS-E-S-LF,118.343,10,25,20,0.6
CMI_n20.in,S-LF,700,4,300,5,False,TSS-E,TSS-E-S-LF,217.929,10,25,20,0.6
CMI_n20.in,S-LF,700,4,400,5,True,TSS-E,TSS-E-S-LF,105.20500000000001,10,25,20,0.6
CMI_n20.in,S-LF,700,4,400,5,False,TSS-E,TSS-E-S-LF,104.692,10,25,20,0.6
CMI_n20.in,S-LF,700,4,500,5,True,TSS-E,TSS-E-S-LF,102.883,10,25,20,0.6
CMI_n20.in,S-LF,700,4,500,5,False,TSS-E,TSS-E-S-LF,101.967,10,25,20,0.6
CMI_n20.in,S-LF,100,100,5,10,True,TSS-E,TSS-E-S-LF,1237.8899999999999,10,25,20,0.6
CMI_n20.in,S-LF,100,100,5,10,False,TSS-E,TSS-E-S-LF,1227.09,10,25,20,0.6
CMI_n20.in,S-LF,100,7,20,10,True,TSS-E,TSS-E-S-LF,363.37,10,25,20,0.6
CMI_n20.in,S-LF,100,7,20,10,False,TSS-E,TSS-E-S-LF,139.17,10,25,20,0.6
CMI_n20.in,S-LF,100,7,35,10,True,TSS-E,TSS-E-S-LF,141.876,10,25,20,0.6
CMI_n20.in,S-LF,100,7,35,10,False,TSS-E,TSS-E-S-LF,148.07600000000002,10,25,20,0.6
CMI_n20.in,S-LF,100,7,50,10,True,TSS-E,TSS-E-S-LF,144.966,10,25,20,0.6
CMI_n20.in,S-LF,100,7,50,10,False,TSS-E,TSS-E-S-LF,136.992,10,25,20,0.6
CMI_n20.in,S-LF,100,7,100,10,True,TSS-E,TSS-E-S-LF,134.50699999999998,10,25,20,0.6
CMI_n20.in,S-LF,100,7,100,10,False,TSS-E,TSS-E-S-LF,134.27,10,25,20,0.6
CMI_n20.in,S-LF,300,300,5,10,True,TSS-E,TSS-E-S-LF,3317.91,10,25,20,0.6
CMI_n20.in,S-LF,300,300,5,10,False,TSS-E,TSS-E-S-LF,3528.7099999999996,10,25,20,0.6
CMI_n20.in,S-LF,300,7,20,10,True,TSS-E,TSS-E-S-LF,145.06199999999998,10,25,20,0.6
CMI_n20.in,S-LF,300,7,20,10,False,TSS-E,TSS-E-S-LF,129.792,10,25,20,0.6
CMI_n20.in,S-LF,300,7,35,10,True,TSS-E,TSS-E-S-LF,142.03099999999998,10,25,20,0.6
CMI_n20.in,S-LF,300,7,35,10,False,TSS-E,TSS-E-S-LF,149.699,10,25,20,0.6
CMI_n20.in,S-LF,300,7,50,10,True,TSS-E,TSS-E-S-LF,251.72499999999997,10,25,20,0.6
CMI_n20.in,S-LF,300,7,50,10,False,TSS-E,TSS-E-S-LF,149.228,10,25,20,0.6
CMI_n20.in,S-LF,300,7,100,10,True,TSS-E,TSS-E-S-LF,136.483,10,25,20,0.6
CMI_n20.in,S-LF,300,7,100,10,False,TSS-E,TSS-E-S-LF,136.533,10,25,20,0.6
CMI_n20.in,S-LF,300,7,200,10,True,TSS-E,TSS-E-S-LF,145.373,10,25,20,0.6
CMI_n20.in,S-LF,300,7,200,10,False,TSS-E,TSS-E-S-LF,143.69799999999998,10,25,20,0.6
CMI_n20.in,S-LF,300,7,300,10,True,TSS-E,TSS-E-S-LF,192.697,10,25,20,0.6
CMI_n20.in,S-LF,300,7,300,10,False,TSS-E,TSS-E-S-LF,150.29500000000002,10,25,20,0.6
CMI_n20.in,S-LF,500,500,5,10,True,TSS-E,TSS-E-S-LF,5533.66,10,25,20,0.6
CMI_n20.in,S-LF,500,500,5,10,False,TSS-E,TSS-E-S-LF,5999.18,10,25,20,0.6
CMI_n20.in,S-LF,500,7,20,10,True,TSS-E,TSS-E-S-LF,164.688,10,25,20,0.6
CMI_n20.in,S-LF,500,7,20,10,False,TSS-E,TSS-E-S-LF,154.327,10,25,20,0.6
CMI_n20.in,S-LF,500,7,35,10,True,TSS-E,TSS-E-S-LF,134.04399999999998,10,25,20,0.6
CMI_n20.in,S-LF,500,7,35,10,False,TSS-E,TSS-E-S-LF,138.80700000000002,10,25,20,0.6
CMI_n20.in,S-LF,500,7,50,10,True,TSS-E,TSS-E-S-LF,166.157,10,25,20,0.6
CMI_n20.in,S-LF,500,7,50,10,False,TSS-E,TSS-E-S-LF,127.31700000000001,10,25,20,0.6
CMI_n20.in,S-LF,500,7,100,10,True,TSS-E,TSS-E-S-LF,145.44000000000003,10,25,20,0.6
CMI_n20.in,S-LF,500,7,100,10,False,TSS-E,TSS-E-S-LF,141.85500000000002,10,25,20,0.6
CMI_n20.in,S-LF,500,7,200,10,True,TSS-E,TSS-E-S-LF,143.156,10,25,20,0.6
CMI_n20.in,S-LF,500,7,200,10,False,TSS-E,TSS-E-S-LF,132.928,10,25,20,0.6
CMI_n20.in,S-LF,500,7,300,10,True,TSS-E,TSS-E-S-LF,165.036,10,25,20,0.6
CMI_n20.in,S-LF,500,7,300,10,False,TSS-E,TSS-E-S-LF,149.672,10,25,20,0.6
CMI_n20.in,S-LF,500,7,400,10,True,TSS-E,TSS-E-S-LF,150.312,10,25,20,0.6
CMI_n20.in,S-LF,500,7,400,10,False,TSS-E,TSS-E-S-LF,147.447,10,25,20,0.6
CMI_n20.in,S-LF,500,7,500,10,True,TSS-E,TSS-E-S-LF,152.411,10,25,20,0.6
CMI_n20.in,S-LF,500,7,500,10,False,TSS-E,TSS-E-S-LF,159.299,10,25,20,0.6
CMI_n20.in,S-LF,700,700,5,10,True,TSS-E,TSS-E-S-LF,7452.24,10,25,20,0.6
CMI_n20.in,S-LF,700,700,5,10,False,TSS-E,TSS-E-S-LF,8063.2699999999995,10,25,20,0.6
CMI_n20.in,S-LF,700,7,20,10,True,TSS-E,TSS-E-S-LF,140.343,10,25,20,0.6
CMI_n20.in,S-LF,700,7,20,10,False,TSS-E,TSS-E-S-LF,125.976,10,25,20,0.6
CMI_n20.in,S-LF,700,7,35,10,True,TSS-E,TSS-E-S-LF,146.091,10,25,20,0.6
CMI_n20.in,S-LF,700,7,35,10,False,TSS-E,TSS-E-S-LF,134.159,10,25,20,0.6
CMI_n20.in,S-LF,700,7,50,10,True,TSS-E,TSS-E-S-LF,135.79,10,25,20,0.6
CMI_n20.in,S-LF,700,7,50,10,False,TSS-E,TSS-E-S-LF,132.992,10,25,20,0.6
CMI_n20.in,S-LF,700,7,100,10,True,TSS-E,TSS-E-S-LF,175.27200000000002,10,25,20,0.6
CMI_n20.in,S-LF,700,7,100,10,False,TSS-E,TSS-E-S-LF,139.707,10,25,20,0.6
CMI_n20.in,S-LF,700,7,200,10,True,TSS-E,TSS-E-S-LF,145.11499999999998,10,25,20,0.6
CMI_n20.in,S-LF,700,7,200,10,False,TSS-E,TSS-E-S-LF,145.256,10,25,20,0.6
CMI_n20.in,S-LF,700,7,300,10,True,TSS-E,TSS-E-S-LF,148.842,10,25,20,0.6
CMI_n20.in,S-LF,700,7,300,10,False,TSS-E,TSS-E-S-LF,144.975,10,25,20,0.6
CMI_n20.in,S-LF,700,7,400,10,True,TSS-E,TSS-E-S-LF,236.13899999999998,10,25,20,0.6
CMI_n20.in,S-LF,700,7,400,10,False,TSS-E,TSS-E-S-LF,151.178,10,25,20,0.6
CMI_n20.in,S-LF,700,7,500,10,True,TSS-E,TSS-E-S-LF,234.214,10,25,20,0.6
CMI_n20.in,S-LF,700,7,500,10,False,TSS-E,TSS-E-S-LF,185.643,10,25,20,0.6
CMI_n20.in,S-LF,100,100,5,15,True,TSS-E,TSS-E-S-LF,1131.84,11,25,20,0.56
CMI_n20.in,S-LF,100,100,5,15,False,TSS-E,TSS-E-S-LF,1223.31,11,25,20,0.56
CMI_n20.in,S-LF,100,20,20,15,True,TSS-E,TSS-E-S-LF,291.24100000000004,11,25,20,0.56
CMI_n20.in,S-LF,100,20,20,15,False,TSS-E,TSS-E-S-LF,276.362,11,25,20,0.56
CMI_n20.in,S-LF,100,20,35,15,True,TSS-E,TSS-E-S-LF,318.22,11,25,20,0.56
CMI_n20.in,S-LF,100,20,35,15,False,TSS-E,TSS-E-S-LF,288.03000000000003,11,25,20,0.56
CMI_n20.in,S-LF,100,20,50,15,True,TSS-E,TSS-E-S-LF,308.519,11,25,20,0.56
CMI_n20.in,S-LF,100,20,50,15,False,TSS-E,TSS-E-S-LF,288.80699999999996,11,25,20,0.56
CMI_n20.in,S-LF,100,20,100,15,True,TSS-E,TSS-E-S-LF,280.511,11,25,20,0.56
CMI_n20.in,S-LF,100,20,100,15,False,TSS-E,TSS-E-S-LF,279.02900000000005,11,25,20,0.56
CMI_n20.in,S-LF,300,300,5,15,True,TSS-E,TSS-E-S-LF,3223.7,11,25,20,0.56
CMI_n20.in,S-LF,300,300,5,15,False,TSS-E,TSS-E-S-LF,3302.21,11,25,20,0.56
CMI_n20.in,S-LF,300,20,20,15,True,TSS-E,TSS-E-S-LF,286.981,11,25,20,0.56
CMI_n20.in,S-LF,300,20,20,15,False,TSS-E,TSS-E-S-LF,288.406,11,25,20,0.56
CMI_n20.in,S-LF,300,20,35,15,True,TSS-E,TSS-E-S-LF,339.312,11,25,20,0.56
CMI_n20.in,S-LF,300,20,35,15,False,TSS-E,TSS-E-S-LF,290.85,11,25,20,0.56
CMI_n20.in,S-LF,300,20,50,15,True,TSS-E,TSS-E-S-LF,313.358,11,25,20,0.56
CMI_n20.in,S-LF,300,20,50,15,False,TSS-E,TSS-E-S-LF,278.96700000000004,11,25,20,0.56
CMI_n20.in,S-LF,300,20,100,15,True,TSS-E,TSS-E-S-LF,298.757,11,25,20,0.56
CMI_n20.in,S-LF,300,20,100,15,False,TSS-E,TSS-E-S-LF,348.381,11,25,20,0.56
CMI_n20.in,S-LF,300,20,200,15,True,TSS-E,TSS-E-S-LF,306.076,11,25,20,0.56
CMI_n20.in,S-LF,300,20,200,15,False,TSS-E,TSS-E-S-LF,292.17199999999997,11,25,20,0.56
CMI_n20.in,S-LF,300,20,300,15,True,TSS-E,TSS-E-S-LF,324.998,11,25,20,0.56
CMI_n20.in,S-LF,300,20,300,15,False,TSS-E,TSS-E-S-LF,318.98199999999997,11,25,20,0.56
CMI_n20.in,S-LF,500,500,5,15,True,TSS-E,TSS-E-S-LF,5448.88,11,25,20,0.56
